Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
357090,Copahue,Stratovolcano,2020,Chile-Argentina,South America,Central Chile and Argentina,-37.856,-71.183,2953,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,88,555,3042,138414
352050,Cotopaxi,Stratovolcano,2016,Ecuador,South America,Ecuador,-0.677,-78.436,5911,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,251,7299,152139,3631492
211060,Etna,Stratovolcano(es),2021,Italy,Mediterranean and Western Asia,Italy,37.748,14.999,3320,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Ê,Ê,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite,Ê,Ê,Ê,78,3291,1016540,3052770
372020,Eyjafjallajokull,Stratovolcano,2010,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.633,-19.633,1651,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite,Ê,Ê,Ê,Ê,Ê,Ê,0,4,786,18516
353010,Fernandina,Shield,2020,Ecuador,South America,Galapagos Islands,-0.37,-91.55,1476,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,129,129,208,1972
384010,Fogo,Stratovolcano,2015,Cape Verde,Atlantic Ocean,Cape Verde Islands,14.95,-24.35,2829,Intraplate / Intermediate crust (15-25 km),Eruption Observed,Foidite,Trachybasalt / Tephrite Basanite,Phonolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,189,13254,37650,267298
233020,"Fournaise, Piton de la",Shield,2020,France,Middle East and Indian Ocean,Indian Ocean (western),-21.244,55.708,2632,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,55859,55859,246792,717820
312260,Fourpeaked,Stratovolcano,2006,United States,Alaska,Alaska Peninsula,58.77,-153.672,2105,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,165
342090,Fuego,Stratovolcano(es),2021,Guatemala,MŽxico and Central America,Guatemala,14.473,-90.88,3763,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,1373,54332,1016339,7677809
351080,Galeras,Complex,2014,Colombia,South America,Colombia,1.22,-77.37,4276,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Dacite,Ê,Ê,Ê,Ê,705,120817,630777,1700248
263140,Galunggung,Stratovolcano,1984,Indonesia,Indonesia,Java,-7.25,108.058,2168,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Rhyolite,Ê,Ê,Ê,Ê,4781,66495,2382939,23897342
268060,Gamalama,Stratovolcano(es),2018,Indonesia,Indonesia,Halmahera,0.8,127.33,1715,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Dacite,Ê,Ê,Ê,Ê,103429,204820,308691,536972
268040,Gamkonora,Stratovolcano,2007,Indonesia,Indonesia,Halmahera,1.38,127.53,1635,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,3354,12744,61376,627128
373010,Grimsvotn,Caldera,2011,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.416,-17.316,1719,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,1736
234010,Heard,Stratovolcano,2021,Australia,Middle East and Indian Ocean,Indian Ocean (southern),-53.106,73.513,2745,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite,Ê,Ê,Ê,Ê,Ê,0,0,0,0
372070,Hekla,Stratovolcano,2000,Iceland,Iceland and Arctic Ocean,Iceland (southern),63.983,-19.666,1490,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Rhyolite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,0,0,298,22845
243080,Home Reef,Submarine,2006,Tonga,New Zealand to Fiji,Tonga Islands,-18.992,-174.775,-10,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,142,21334
358057,"Hudson, Cerro",Stratovolcano,2011,Chile,South America,Southern Chile and Argentina,-45.9,-72.97,1905,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,0,12,28,81642
243040,Hunga Tonga-Hunga Ha'apai,Submarine,2015,Tonga,New Zealand to Fiji,Tonga Islands,-20.536,-175.382,114,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,230,230,532,86213
