Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
313030,Redoubt,Stratovolcano,2009,United States,Alaska,Alaska (southwestern),60.485,-152.742,3108,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Dacite,Trachyandesite / Basaltic Trachyandesite,Rhyolite,Ê,Ê,0,0,1,32410
352010,Reventador,Stratovolcano,2021,Ecuador,South America,Ecuador,-0.077,-77.656,3562,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,484,963,4403,2619647
264030,Rinjani,Stratovolcano,2016,Indonesia,Indonesia,Lesser Sunda Islands,-8.42,116.47,3726,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Dacite,Ê,Rhyolite,Ê,Ê,Ê,Ê,10289,55594,1374441,3555330
267010,Ruang,Stratovolcano,2002,Indonesia,Indonesia,Sangihe Islands,2.3,125.37,725,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,878,1652,2766,149159
241100,Ruapehu,Stratovolcano,2007,New Zealand,New Zealand to Fiji,New Zealand,-39.28,175.57,2797,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Dacite,Basalt / Picro-Basalt,Ê,Ê,Ê,14,298,6901,119709
351020,"Ruiz, Nevado del",Stratovolcano,2021,Colombia,South America,Colombia,4.892,-75.324,5279,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,3849,20146,507608,4252435
344020,San Cristobal,Stratovolcano,2021,Nicaragua,MŽxico and Central America,Nicaragua,12.702,-87.004,1745,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,208,7876,351227,2002579
343100,San Miguel,Stratovolcano,2020,El Salvador,MŽxico and Central America,El Salvador and Honduras,13.434,-88.269,2130,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1232,63007,796482,3633885
264050,Sangeang Api,Complex,2020,Indonesia,Indonesia,Lesser Sunda Islands,-8.2,119.07,1912,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,204,1155,39301,809132
343020,Santa Ana,Stratovolcano,2005,El Salvador,MŽxico and Central America,El Salvador and Honduras,13.853,-89.63,2381,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Ê,Ê,Dacite,Rhyolite,Ê,Ê,Ê,489,21653,1240131,6486880
290240,Sarychev Peak,Stratovolcano,2021,Russia,Kuril Islands,Kuril Islands,48.092,153.2,1496,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,17,143,143,148
300270,Sheveluch,Stratovolcano,2021,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.653,161.36,3283,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,1718,11613
311360,Shishaldin,Stratovolcano,2020,United States,Alaska,Aleutian Islands,54.756,-163.97,2857,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Dacite,Trachyte / Trachydacite,Rhyolite,Ê,Ê,0,0,10,197
261080,Sinabung,Stratovolcano,2021,Indonesia,Indonesia,Sumatra,3.17,98.392,2460,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,997,13801,163630,7646863
266030,Soputan,Stratovolcano,2020,Indonesia,Indonesia,Sulawesi,1.112,124.737,1785,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,4724,69991,501336,1696768
360050,Soufriere Hills,Stratovolcano,2013,United Kingdom,West Indies,West Indies,16.72,-62.18,915,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,3006,9401,9458,448929
360150,Soufriere St. Vincent,Stratovolcano,2021,Saint Vincent and the Grenadines,West Indies,West Indies,13.33,-61.18,1220,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1491,15327,103882,291476
313040,Spurr,Stratovolcano,1992,United States,Alaska,Alaska (southwestern),61.299,-152.251,3374,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Dacite,Basalt / Picro-Basalt,Rhyolite,Ê,Ê,0,0,0,11097
321050,St. Helens,Stratovolcano,2008,United States,Canada and Western USA,USA (Washington),46.2,-122.18,2549,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,Ê,78,427,2221,2173101
221010,"Tair, Jebel at",Stratovolcano,2008,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,14493
261160,Talang,Stratovolcano,2007,Indonesia,Indonesia,Sumatra,-0.979,100.681,2575,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1593,18512,214975,3283153
344040,Telica,Stratovolcano(es),2020,Nicaragua,MŽxico and Central America,Nicaragua,12.606,-86.84,1036,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1079,21990,327294,2982538
263310,Tengger Caldera,Stratovolcano(es),2020,Indonesia,Indonesia,Java,-7.942,112.95,2329,Subduction zone / Continental crust (>25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,27826,69451,1420878,22628278
256010,Tinakula,Stratovolcano,2021,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,-10.386,165.804,796,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,0,19,19,20155
300240,Tolbachik,Shield,2013,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.832,160.326,3611,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,225,10487
241080,Tongariro,Stratovolcano(es),2012,New Zealand,New Zealand to Fiji,New Zealand,-39.157,175.632,1978,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,27,286,7591,81567
352080,Tungurahua,Stratovolcano,2016,Ecuador,South America,Ecuador,-1.467,-78.442,5023,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,476,20990,183640,1571744
345070,Turrialba,Stratovolcano,2020,Costa Rica,MŽxico and Central America,Costa Rica,10.025,-83.767,3340,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1891,6867,672428,3390544
252120,Ulawun,Stratovolcano,2019,Papua New Guinea,Melanesia and Australia,New Britain,-5.05,151.33,2334,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,30,1801,10577,61018
312070,Veniaminof,Stratovolcano,2021,United States,Alaska,Alaska Peninsula,56.17,-159.38,2507,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,542
357120,Villarrica,Stratovolcano,2021,Chile,South America,Central Chile and Argentina,-39.42,-71.93,2847,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,477,1067,35118,667788
353020,Wolf,Shield,2015,Ecuador,South America,Galapagos Islands,0.02,-91.35,1710,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,165,165,237,1673
300120,Zhupanovsky,Compound,2016,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.589,159.15,2899,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,153,267080
221020,Zubair Group,Shield,2013,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,7,7,7,671171
